Index,Season,League,Team,Entropy,X,Colour
113,2009/2010,England,Chelsea,0.8137577880085021,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
114,2009/2010,England,Portsmouth,0.945158551138141,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
115,2009/2010,England,Birmingham,0.9936573925405114,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
116,2009/2010,England,Wolverhampton Wanderers,0.9634540337702063,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
117,2009/2010,England,Burnley,0.9464287575342365,0.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
118,2009/2010,France,Auxerre,1.0303442336416562,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
119,2009/2010,France,Bordeaux,0.9703614179622689,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
120,2009/2010,France,Nice,1.0285557041097146,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
121,2009/2010,France,Le Mans,1.0112648650109655,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
122,2009/2010,France,Lorient,1.0360825852616709,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
123,2009/2010,France,Lyon,0.9471065723050353,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
124,2009/2010,France,Toulouse,1.0361451147226035,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
125,2009/2010,France,Monaco,1.031163937968484,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
126,2009/2010,France,Paris Saint Germain,1.0359743814306663,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
127,2009/2010,France,Nancy,1.0391949795011466,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
128,2009/2010,France,Lille,0.998712433613913,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
129,2009/2010,France,Rennes,1.0325956140918036,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
130,2009/2010,France,Marseille,0.9581399130051073,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
131,2009/2010,France,Sochaux,1.0290330889088695,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
132,2009/2010,France,Grenoble,0.9864172662139988,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
133,2009/2010,France,Valenciennes,1.0260305472320157,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
134,2009/2010,France,Saint-Etienne,1.0310366504237443,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
135,2009/2010,France,Lens,1.028333361146858,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
136,2009/2010,France,Montpellier,1.0416451064368382,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
137,2009/2010,France,Boulogne,0.974740657753156,0.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
138,2009/2010,Germany,Bayern Munich,0.8817467377995699,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
139,2009/2010,Germany,Hamburger SV,1.007192549920509,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
140,2009/2010,Germany,Bayer Leverkusen,0.9848856818886785,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
141,2009/2010,Germany,Borussia Dortmund,1.0188584074082665,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
142,2009/2010,Germany,Schalke 04,1.0084437740988097,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
143,2009/2010,Germany,Hannover 96,0.9984983196457342,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
144,2009/2010,Germany,Wolfsburg,1.0036778569827551,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
145,2009/2010,Germany,FC Cologne,1.0036831605831442,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
146,2009/2010,Germany,Eintracht Frankfurt,1.0183989330805598,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
147,2009/2010,Germany,Hertha Berlin,1.0065846189902061,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
148,2009/2010,Germany,Werder Bremen,0.9816466052865662,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
149,2009/2010,Germany,Hoffenheim,1.0268865682483597,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
150,2009/2010,Germany,Borussia Moenchengladbach,1.0050257019894158,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
151,2009/2010,Germany,VfB Stuttgart,1.0180609074993465,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
152,2009/2010,Germany,Bochum,0.9947518869653225,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
153,2009/2010,Germany,Freiburg,0.9957429993866652,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
154,2009/2010,Germany,Nuernberg,1.0000279455157493,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
155,2009/2010,Germany,Mainz 05,1.0061498439008962,1.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
156,2009/2010,Italy,Atalanta,1.0179355118965747,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
157,2009/2010,Italy,Robur Siena,0.9864328462034181,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
158,2009/2010,Italy,Cagliari,1.0182227876563814,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
159,2009/2010,Italy,Lazio,1.0365179797964352,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
160,2009/2010,Italy,Catania,1.0091173961290927,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
161,2009/2010,Italy,Genoa,1.0401723771286526,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
162,2009/2010,Italy,Chievo,1.0077596322609714,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
163,2009/2010,Italy,Fiorentina,1.0257934594601594,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
164,2009/2010,Italy,Juventus,0.9832470947106445,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
165,2009/2010,Italy,AC Milan,0.9813197812137083,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
166,2009/2010,Italy,Bologna,1.00216909139205,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
167,2009/2010,Italy,Roma,0.9900594292912777,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
168,2009/2010,Italy,SSC Napoli,1.016531982623229,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
169,2009/2010,Italy,Sampdoria,1.0232626241768406,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
170,2009/2010,Italy,Inter,0.9070081136443318,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
171,2009/2010,Italy,Udinese,1.0377196399726767,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
172,2009/2010,Italy,Palermo,1.0236379392575312,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
173,2009/2010,Italy,Bari,1.0262599559125163,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
174,2009/2010,Italy,Livorno,0.9812464590827537,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
175,2009/2010,Italy,Parma,1.0171715569819562,1.1,"(0.5058823529411764, 0.4470588235294118, 0.6980392156862745)"
176,2009/2010,Spain,Valencia,0.9885244108552488,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
177,2009/2010,Spain,Mallorca,1.0097838743848033,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
178,2009/2010,Spain,Osasuna,1.0186961314849463,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
179,2009/2010,Spain,Villarreal,1.0045762234794522,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
180,2009/2010,Spain,Deportivo La Coruna,1.0317933339241934,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
181,2009/2010,Spain,Real Madrid,0.7933582554485107,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
182,2009/2010,Spain,Barcelona,0.7433828900719734,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
183,2009/2010,Spain,Racing Santander,1.0097774329020603,1.2,"(0.8, 0.7254901960784313, 0.4549019607843137)"
